WARNING 2025-08-17 22:25:38,672 basehttp 8 140487709161152 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,675 log 8 140487692375744 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:25:38,677 log 8 140487683983040 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:25:38,683 log 8 140487675590336 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:25:38,685 basehttp 8 140487700768448 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,687 basehttp 8 140487692375744 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,688 basehttp 8 140487683983040 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,689 basehttp 8 140487675590336 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,697 log 8 140487675590336 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:25:38,698 basehttp 8 140487675590336 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,704 log 8 140488190428864 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:25:38,706 log 8 140487692375744 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:25:38,707 log 8 140487683983040 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:25:38,708 basehttp 8 140488190428864 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,708 basehttp 8 140487692375744 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,708 basehttp 8 140487683983040 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:25:38,804 log 8 140487683983040 Not Found: /favicon.ico
WARNING 2025-08-17 22:25:38,805 basehttp 8 140487683983040 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2025-08-17 22:26:15,659 basehttp 8 140487683983040 "GET /admin HTTP/1.1" 301 0
INFO 2025-08-17 22:26:15,673 basehttp 8 140488190428864 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-17 22:26:15,690 basehttp 8 140488190428864 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
WARNING 2025-08-17 22:26:15,732 log 8 140488190428864 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:26:15,733 basehttp 8 140488190428864 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,745 log 8 140487692375744 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:26:15,747 log 8 140487700768448 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:26:15,749 log 8 140487675590336 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:26:15,751 log 8 140487709161152 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:26:15,753 log 8 140487683983040 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:26:15,754 basehttp 8 140487692375744 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
